dep;jour;pop;T
70;2020-12-09;233194;1016
71;2020-12-09;547824;1717
72;2020-12-09;560227;1722
73;2020-12-09;432548;1436
74;2020-12-09;828405;2271
75;2020-12-09;2148271;10139
76;2020-12-09;1243788;3518
77;2020-12-09;1423607;4395
78;2020-12-09;1448625;4072
79;2020-12-09;372627;1124
80;2020-12-09;569769;1612
81;2020-12-09;387898;1161
82;2020-12-09;262618;708
83;2020-12-09;1073836;4186
84;2020-12-09;560997;1852
85;2020-12-09;683187;1165
86;2020-12-09;437398;1237
87;2020-12-09;370774;1155
88;2020-12-09;359520;1535
89;2020-12-09;332096;1564
90;2020-12-09;140145;469
91;2020-12-09;1319401;3945
92;2020-12-09;1613762;6135
93;2020-12-09;1670149;5621
94;2020-12-09;1406041;5194
95;2020-12-09;1248354;3793
971;2020-12-09;376879;366
972;2020-12-09;358749;483
973;2020-12-09;290691;914
974;2020-12-09;859959;1832
975;2020-12-09;5997;2
976;2020-12-09;279471;343
977;2020-12-09;9961;23
978;2020-12-09;35334;128
01;2020-12-10;656955;2012
02;2020-12-10;526050;1882
03;2020-12-10;331315;1281
04;2020-12-10;165197;594
05;2020-12-10;141756;508
06;2020-12-10;1079396;5179
07;2020-12-10;326875;919
08;2020-12-10;265531;1388
09;2020-12-10;152398;533
10;2020-12-10;309907;1284
11;2020-12-10;372705;1232
12;2020-12-10;278360;622
13;2020-12-10;2034469;10429
14;2020-12-10;691453;2128
15;2020-12-10;142811;633
16;2020-12-10;348180;1052
17;2020-12-10;647080;1703
18;2020-12-10;296404;1097
19;2020-12-10;240336;616
21;2020-12-10;532886;2031
22;2020-12-10;596186;2164
23;2020-12-10;116270;341
24;2020-12-10;408393;1028
25;2020-12-10;539449;2008
26;2020-12-10;520560;1470
27;2020-12-10;600687;1698
28;2020-12-10;429425;1245
29;2020-12-10;906554;1821
2A;2020-12-10;162421;471
2B;2020-12-10;182258;461
30;2020-12-10;748468;2454
31;2020-12-10;1400935;4299
32;2020-12-10;190040;732
33;2020-12-10;1633440;5060
34;2020-12-10;1176145;4421
35;2020-12-10;1082073;2373
36;2020-12-10;217139;528
37;2020-12-10;605380;1835
38;2020-12-10;1264979;4238
39;2020-12-10;257849;1184
40;2020-12-10;411979;1248
41;2020-12-10;327835;1163
42;2020-12-10;764737;2102
43;2020-12-10;226901;652
44;2020-12-10;1437137;3731
45;2020-12-10;682890;2910
46;2020-12-10;173166;380
47;2020-12-10;330336;1580
48;2020-12-10;76286;209
49;2020-12-10;815881;2515
50;2020-12-10;490669;990
51;2020-12-10;563823;1746
52;2020-12-10;169250;905
53;2020-12-10;305365;744
54;2020-12-10;730398;3865
55;2020-12-10;181641;718
56;2020-12-10;755566;1583
57;2020-12-10;1035866;4878
58;2020-12-10;199596;1060
59;2020-12-10;2588988;8884
60;2020-12-10;825077;2641
61;2020-12-10;276903;2014
62;2020-12-10;1452778;4181
63;2020-12-10;660240;2943
64;2020-12-10;683169;2745
65;2020-12-10;226839;1040
66;2020-12-10;479000;1214
67;2020-12-10;1132607;4044
68;2020-12-10;763204;2910
69;2020-12-10;1876051;6450
70;2020-12-10;233194;1164
71;2020-12-10;547824;2009
72;2020-12-10;560227;2103
73;2020-12-10;432548;1335
74;2020-12-10;828405;2643
75;2020-12-10;2148271;11402
76;2020-12-10;1243788;4705
77;2020-12-10;1423607;4681
78;2020-12-10;1448625;4820
79;2020-12-10;372627;1357
80;2020-12-10;569769;1711
81;2020-12-10;387898;1291
82;2020-12-10;262618;843
83;2020-12-10;1073836;5044
84;2020-12-10;560997;1868
85;2020-12-10;683187;1658
86;2020-12-10;437398;1188
87;2020-12-10;370774;1064
88;2020-12-10;359520;1840
89;2020-12-10;332096;1450
90;2020-12-10;140145;429
91;2020-12-10;1319401;4232
92;2020-12-10;1613762;6516
93;2020-12-10;1670149;5815
94;2020-12-10;1406041;5099
95;2020-12-10;1248354;4175
971;2020-12-10;376879;380
972;2020-12-10;358749;426
973;2020-12-10;290691;972
974;2020-12-10;859959;1347
975;2020-12-10;5997;2
976;2020-12-10;279471;628
977;2020-12-10;9961;131
978;2020-12-10;35334;119
01;2020-12-11;656955;2208
02;2020-12-11;526050;2091
03;2020-12-11;331315;1354
04;2020-12-11;165197;592
05;2020-12-11;141756;430
06;2020-12-11;1079396;5946
07;2020-12-11;326875;1165
08;2020-12-11;265531;1782
09;2020-12-11;152398;552
10;2020-12-11;309907;1438
11;2020-12-11;372705;1406
12;2020-12-11;278360;946
13;2020-12-11;2034469;11949
14;2020-12-11;691453;2772
15;2020-12-11;142811;543
16;2020-12-11;348180;1086
17;2020-12-11;647080;2036
18;2020-12-11;296404;1062
19;2020-12-11;240336;633
21;2020-12-11;532886;2323
22;2020-12-11;596186;1751
23;2020-12-11;116270;316
24;2020-12-11;408393;1108
25;2020-12-11;539449;2257
26;2020-12-11;520560;1998
27;2020-12-11;600687;2019
28;2020-12-11;429425;1261
29;2020-12-11;906554;2376
2A;2020-12-11;162421;635
2B;2020-12-11;182258;669
30;2020-12-11;748468;2816
31;2020-12-11;1400935;4619
32;2020-12-11;190040;638
33;2020-12-11;1633440;5945
34;2020-12-11;1176145;5428
35;2020-12-11;1082073;2615
36;2020-12-11;217139;603
37;2020-12-11;605380;1816
38;2020-12-11;1264979;4950
39;2020-12-11;257849;1270
40;2020-12-11;411979;1550
41;2020-12-11;327835;972
42;2020-12-11;764737;2786
43;2020-12-11;226901;731
44;2020-12-11;1437137;3889
45;2020-12-11;682890;2495
46;2020-12-11;173166;526
47;2020-12-11;330336;1394
48;2020-12-11;76286;252
49;2020-12-11;815881;2780
50;2020-12-11;490669;1190
51;2020-12-11;563823;2222
52;2020-12-11;169250;997
53;2020-12-11;305365;1010
54;2020-12-11;730398;4671
55;2020-12-11;181641;945
56;2020-12-11;755566;1901
57;2020-12-11;1035866;5237
58;2020-12-11;199596;1055
59;2020-12-11;2588988;10152
60;2020-12-11;825077;2601
61;2020-12-11;276903;1185
62;2020-12-11;1452778;5183
63;2020-12-11;660240;2534
64;2020-12-11;683169;3082
65;2020-12-11;226839;1065
66;2020-12-11;479000;1774
67;2020-12-11;1132607;4967
68;2020-12-11;763204;3171
69;2020-12-11;1876051;7843
70;2020-12-11;233194;1023
71;2020-12-11;547824;2701
72;2020-12-11;560227;2420
73;2020-12-11;432548;1718
74;2020-12-11;828405;2636
75;2020-12-11;2148271;12693
76;2020-12-11;1243788;3907
77;2020-12-11;1423607;4836
78;2020-12-11;1448625;5241
79;2020-12-11;372627;1330
80;2020-12-11;569769;2196
81;2020-12-11;387898;1412
82;2020-12-11;262618;827
83;2020-12-11;1073836;4895
84;2020-12-11;560997;2292
85;2020-12-11;683187;1821
86;2020-12-11;437398;1279
87;2020-12-11;370774;1162
88;2020-12-11;359520;2240
89;2020-12-11;332096;1684
90;2020-12-11;140145;523
91;2020-12-11;1319401;4694
92;2020-12-11;1613762;7371
93;2020-12-11;1670149;6325
94;2020-12-11;1406041;6041
95;2020-12-11;1248354;4625
971;2020-12-11;376879;370
972;2020-12-11;358749;591
973;2020-12-11;290691;1106
974;2020-12-11;859959;1740
975;2020-12-11;5997;2
976;2020-12-11;279471;653
977;2020-12-11;9961;87
978;2020-12-11;35334;105
01;2020-12-12;656955;1021
02;2020-12-12;526050;1268
03;2020-12-12;331315;659
04;2020-12-12;165197;228
05;2020-12-12;141756;153
06;2020-12-12;1079396;3477
07;2020-12-12;326875;542
08;2020-12-12;265531;835
09;2020-12-12;152398;151
10;2020-12-12;309907;714
11;2020-12-12;372705;819
12;2020-12-12;278360;422
13;2020-12-12;2034469;4785
14;2020-12-12;691453;1585
15;2020-12-12;142811;342
16;2020-12-12;348180;427
17;2020-12-12;647080;1081
18;2020-12-12;296404;427
19;2020-12-12;240336;330
21;2020-12-12;532886;1237
22;2020-12-12;596186;914
23;2020-12-12;116270;196
24;2020-12-12;408393;584
25;2020-12-12;539449;1671
26;2020-12-12;520560;932
27;2020-12-12;600687;685
28;2020-12-12;429425;633
29;2020-12-12;906554;1236
2A;2020-12-12;162421;361
2B;2020-12-12;182258;301
30;2020-12-12;748468;1638
31;2020-12-12;1400935;2371
32;2020-12-12;190040;236
33;2020-12-12;1633440;2924
34;2020-12-12;1176145;2392
35;2020-12-12;1082073;1647
36;2020-12-12;217139;411
37;2020-12-12;605380;886
38;2020-12-12;1264979;2113
39;2020-12-12;257849;541
40;2020-12-12;411979;555
41;2020-12-12;327835;432
42;2020-12-12;764737;1516
43;2020-12-12;226901;337
44;2020-12-12;1437137;2250
45;2020-12-12;682890;1645
46;2020-12-12;173166;201
47;2020-12-12;330336;664
48;2020-12-12;76286;125
49;2020-12-12;815881;1143
50;2020-12-12;490669;583
51;2020-12-12;563823;1093
52;2020-12-12;169250;447
53;2020-12-12;305365;548
54;2020-12-12;730398;2449
55;2020-12-12;181641;532
56;2020-12-12;755566;1153
57;2020-12-12;1035866;2744
58;2020-12-12;199596;432
59;2020-12-12;2588988;5615
60;2020-12-12;825077;1485
61;2020-12-12;276903;517
62;2020-12-12;1452778;2674
63;2020-12-12;660240;1331
64;2020-12-12;683169;1371
65;2020-12-12;226839;470
66;2020-12-12;479000;780
67;2020-12-12;1132607;3821
68;2020-12-12;763204;2014
69;2020-12-12;1876051;4025
70;2020-12-12;233194;577
71;2020-12-12;547824;937
72;2020-12-12;560227;1187
73;2020-12-12;432548;894
74;2020-12-12;828405;1420
75;2020-12-12;2148271;8172
76;2020-12-12;1243788;1887
77;2020-12-12;1423607;3220
78;2020-12-12;1448625;2975
79;2020-12-12;372627;633
80;2020-12-12;569769;1129
81;2020-12-12;387898;372
82;2020-12-12;262618;445
83;2020-12-12;1073836;2398
84;2020-12-12;560997;1045
85;2020-12-12;683187;1119
86;2020-12-12;437398;770
87;2020-12-12;370774;673
88;2020-12-12;359520;843
89;2020-12-12;332096;1006
90;2020-12-12;140145;338
91;2020-12-12;1319401;2426
92;2020-12-12;1613762;4229
93;2020-12-12;1670149;3643
94;2020-12-12;1406041;3216
95;2020-12-12;1248354;2672
971;2020-12-12;376879;164
972;2020-12-12;358749;260
973;2020-12-12;290691;531
974;2020-12-12;859959;1108
975;2020-12-12;5997;1
976;2020-12-12;279471;178
977;2020-12-12;9961;77
978;2020-12-12;35334;58
01;2020-12-13;656955;266
02;2020-12-13;526050;117
03;2020-12-13;331315;111
04;2020-12-13;165197;98
05;2020-12-13;141756;67
06;2020-12-13;1079396;796
07;2020-12-13;326875;94
08;2020-12-13;265531;181
09;2020-12-13;152398;39
10;2020-12-13;309907;170
11;2020-12-13;372705;68
12;2020-12-13;278360;66
13;2020-12-13;2034469;1528
14;2020-12-13;691453;667
15;2020-12-13;142811;60
16;2020-12-13;348180;102
17;2020-12-13;647080;303
18;2020-12-13;296404;125
19;2020-12-13;240336;67
21;2020-12-13;532886;317
22;2020-12-13;596186;242
23;2020-12-13;116270;37
24;2020-12-13;408393;100
25;2020-12-13;539449;202
26;2020-12-13;520560;184
27;2020-12-13;600687;225
28;2020-12-13;429425;145
29;2020-12-13;906554;431
2A;2020-12-13;162421;60
2B;2020-12-13;182258;55
30;2020-12-13;748468;572
31;2020-12-13;1400935;1046
32;2020-12-13;190040;72
33;2020-12-13;1633440;809
34;2020-12-13;1176145;604
35;2020-12-13;1082073;348
36;2020-12-13;217139;56
37;2020-12-13;605380;195
38;2020-12-13;1264979;460
39;2020-12-13;257849;138
40;2020-12-13;411979;126
41;2020-12-13;327835;79
42;2020-12-13;764737;332
43;2020-12-13;226901;57
44;2020-12-13;1437137;830
45;2020-12-13;682890;537
46;2020-12-13;173166;31
47;2020-12-13;330336;118
48;2020-12-13;76286;15
49;2020-12-13;815881;187
50;2020-12-13;490669;128
51;2020-12-13;563823;224
52;2020-12-13;169250;58
53;2020-12-13;305365;187
54;2020-12-13;730398;345
55;2020-12-13;181641;75
56;2020-12-13;755566;298
57;2020-12-13;1035866;370
58;2020-12-13;199596;81
59;2020-12-13;2588988;1887
60;2020-12-13;825077;387
61;2020-12-13;276903;140
62;2020-12-13;1452778;447
63;2020-12-13;660240;429
64;2020-12-13;683169;304
65;2020-12-13;226839;86
66;2020-12-13;479000;134
67;2020-12-13;1132607;553
68;2020-12-13;763204;265
69;2020-12-13;1876051;738
70;2020-12-13;233194;66
71;2020-12-13;547824;293
72;2020-12-13;560227;540
73;2020-12-13;432548;256
74;2020-12-13;828405;208
75;2020-12-13;2148271;2837
76;2020-12-13;1243788;686
77;2020-12-13;1423607;1011
78;2020-12-13;1448625;738
79;2020-12-13;372627;150
80;2020-12-13;569769;253
81;2020-12-13;387898;80
82;2020-12-13;262618;74
83;2020-12-13;1073836;500
84;2020-12-13;560997;180
85;2020-12-13;683187;230
86;2020-12-13;437398;125
87;2020-12-13;370774;79
88;2020-12-13;359520;144
89;2020-12-13;332096;249
90;2020-12-13;140145;64
91;2020-12-13;1319401;667
92;2020-12-13;1613762;1278
93;2020-12-13;1670149;1384
94;2020-12-13;1406041;1222
95;2020-12-13;1248354;703
971;2020-12-13;376879;64
972;2020-12-13;358749;44
973;2020-12-13;290691;148
974;2020-12-13;859959;341
975;2020-12-13;5997;1
976;2020-12-13;279471;55
977;2020-12-13;9961;2
978;2020-12-13;35334;28
01;2020-12-14;656955;2980
02;2020-12-14;526050;2610
03;2020-12-14;331315;2229
04;2020-12-14;165197;888
05;2020-12-14;141756;686
06;2020-12-14;1079396;8467
07;2020-12-14;326875;1684
08;2020-12-14;265531;2394
09;2020-12-14;152398;645
10;2020-12-14;309907;1580
11;2020-12-14;372705;1738
12;2020-12-14;278360;1055
13;2020-12-14;2034469;15768
14;2020-12-14;691453;2847
15;2020-12-14;142811;1638
16;2020-12-14;348180;1318
17;2020-12-14;647080;2666
18;2020-12-14;296404;1213
19;2020-12-14;240336;867
21;2020-12-14;532886;2977
22;2020-12-14;596186;1828
23;2020-12-14;116270;382
24;2020-12-14;408393;1537
25;2020-12-14;539449;2948
26;2020-12-14;520560;2921
27;2020-12-14;600687;1981
28;2020-12-14;429425;1643
29;2020-12-14;906554;2780
2A;2020-12-14;162421;885
2B;2020-12-14;182258;836
30;2020-12-14;748468;3682
31;2020-12-14;1400935;7380
32;2020-12-14;190040;960
33;2020-12-14;1633440;7007
34;2020-12-14;1176145;5973
35;2020-12-14;1082073;3462
36;2020-12-14;217139;705
37;2020-12-14;605380;2267
38;2020-12-14;1264979;7712
39;2020-12-14;257849;1430
40;2020-12-14;411979;2150
41;2020-12-14;327835;1229
42;2020-12-14;764737;3712
43;2020-12-14;226901;1140
44;2020-12-14;1437137;4279
45;2020-12-14;682890;2966
46;2020-12-14;173166;666
47;2020-12-14;330336;1595
48;2020-12-14;76286;223
49;2020-12-14;815881;3266
50;2020-12-14;490669;1414
51;2020-12-14;563823;2953
52;2020-12-14;169250;1056
53;2020-12-14;305365;993
54;2020-12-14;730398;5600
55;2020-12-14;181641;1383
56;2020-12-14;755566;2580
57;2020-12-14;1035866;6370
58;2020-12-14;199596;1085
59;2020-12-14;2588988;12406
60;2020-12-14;825077;3050
61;2020-12-14;276903;1649
62;2020-12-14;1452778;6900
63;2020-12-14;660240;3421
64;2020-12-14;683169;4183
65;2020-12-14;226839;1248
66;2020-12-14;479000;2052
67;2020-12-14;1132607;6160
68;2020-12-14;763204;4525
69;2020-12-14;1876051;11157
70;2020-12-14;233194;1349
71;2020-12-14;547824;2922
72;2020-12-14;560227;2424
73;2020-12-14;432548;2553
74;2020-12-14;828405;4052
75;2020-12-14;2148271;17511
76;2020-12-14;1243788;7818
77;2020-12-14;1423607;6031
78;2020-12-14;1448625;6563
79;2020-12-14;372627;2143
80;2020-12-14;569769;2222
81;2020-12-14;387898;1512
82;2020-12-14;262618;1035
83;2020-12-14;1073836;6865
84;2020-12-14;560997;3560
85;2020-12-14;683187;2794
86;2020-12-14;437398;1662
87;2020-12-14;370774;1461
88;2020-12-14;359520;2527
89;2020-12-14;332096;1983
90;2020-12-14;140145;751
91;2020-12-14;1319401;5825
92;2020-12-14;1613762;9693
93;2020-12-14;1670149;7960
94;2020-12-14;1406041;7544
95;2020-12-14;1248354;6013
971;2020-12-14;376879;582
972;2020-12-14;358749;699
973;2020-12-14;290691;1277
974;2020-12-14;859959;2353
975;2020-12-14;5997;0
976;2020-12-14;279471;566
977;2020-12-14;9961;128
978;2020-12-14;35334;150
01;2020-12-15;656955;3644
02;2020-12-15;526050;2389
03;2020-12-15;331315;2519
04;2020-12-15;165197;817
05;2020-12-15;141756;682
06;2020-12-15;1079396;7049
07;2020-12-15;326875;1793
08;2020-12-15;265531;2611
09;2020-12-15;152398;494
10;2020-12-15;309907;1388
11;2020-12-15;372705;1782
12;2020-12-15;278360;836
13;2020-12-15;2034469;14540
14;2020-12-15;691453;2646
15;2020-12-15;142811;1203
16;2020-12-15;348180;1300
17;2020-12-15;647080;2278
18;2020-12-15;296404;1438
19;2020-12-15;240336;915
21;2020-12-15;532886;2555
22;2020-12-15;596186;1981
23;2020-12-15;116270;310
24;2020-12-15;408393;1140
25;2020-12-15;539449;2670
26;2020-12-15;520560;2674
27;2020-12-15;600687;1882
28;2020-12-15;429425;1518
29;2020-12-15;906554;2613
2A;2020-12-15;162421;778
2B;2020-12-15;182258;835
30;2020-12-15;748468;3552
31;2020-12-15;1400935;6866
32;2020-12-15;190040;1018
33;2020-12-15;1633440;6474
34;2020-12-15;1176145;5566
35;2020-12-15;1082073;3525
36;2020-12-15;217139;672
37;2020-12-15;605380;2404
38;2020-12-15;1264979;8183
39;2020-12-15;257849;1265
40;2020-12-15;411979;1478
41;2020-12-15;327835;1120
42;2020-12-15;764737;4502
43;2020-12-15;226901;992
44;2020-12-15;1437137;4465
45;2020-12-15;682890;3401
46;2020-12-15;173166;544
47;2020-12-15;330336;1297
48;2020-12-15;76286;328
49;2020-12-15;815881;2990
50;2020-12-15;490669;1252
51;2020-12-15;563823;2589
52;2020-12-15;169250;1066
53;2020-12-15;305365;972
54;2020-12-15;730398;4827
55;2020-12-15;181641;978
56;2020-12-15;755566;1900
57;2020-12-15;1035866;5502
58;2020-12-15;199596;1098
59;2020-12-15;2588988;10955
60;2020-12-15;825077;3128
61;2020-12-15;276903;1437
62;2020-12-15;1452778;5869
63;2020-12-15;660240;4130
64;2020-12-15;683169;3430
65;2020-12-15;226839;1110
66;2020-12-15;479000;1722
67;2020-12-15;1132607;5877
68;2020-12-15;763204;4150
69;2020-12-15;1876051;12294
70;2020-12-15;233194;1323
71;2020-12-15;547824;2577
72;2020-12-15;560227;2222
73;2020-12-15;432548;3146
74;2020-12-15;828405;4312
75;2020-12-15;2148271;17022
76;2020-12-15;1243788;8484
77;2020-12-15;1423607;5983
78;2020-12-15;1448625;6390
79;2020-12-15;372627;1609
80;2020-12-15;569769;2286
81;2020-12-15;387898;2196
82;2020-12-15;262618;938
83;2020-12-15;1073836;6180
84;2020-12-15;560997;2681
85;2020-12-15;683187;2192
86;2020-12-15;437398;1962
87;2020-12-15;370774;1457
88;2020-12-15;359520;2429
89;2020-12-15;332096;1910
90;2020-12-15;140145;631
91;2020-12-15;1319401;5596
92;2020-12-15;1613762;9483
93;2020-12-15;1670149;7093
94;2020-12-15;1406041;6861
95;2020-12-15;1248354;5111
971;2020-12-15;376879;626
972;2020-12-15;358749;516
973;2020-12-15;290691;1328
974;2020-12-15;859959;2129
975;2020-12-15;5997;1
976;2020-12-15;279471;376
977;2020-12-15;9961;89
978;2020-12-15;35334;112
01;2020-12-16;656955;3117
02;2020-12-16;526050;2409
03;2020-12-16;331315;1827
04;2020-12-16;165197;684
05;2020-12-16;141756;668
06;2020-12-16;1079396;8822
07;2020-12-16;326875;1583
08;2020-12-16;265531;2518
09;2020-12-16;152398;532
10;2020-12-16;309907;1380
11;2020-12-16;372705;1497
12;2020-12-16;278360;1076
13;2020-12-16;2034469;15787
14;2020-12-16;691453;2689
15;2020-12-16;142811;1184
16;2020-12-16;348180;1123
17;2020-12-16;647080;2518
18;2020-12-16;296404;1098
19;2020-12-16;240336;677
21;2020-12-16;532886;2670
22;2020-12-16;596186;1927
23;2020-12-16;116270;311
24;2020-12-16;408393;1135
25;2020-12-16;539449;2794
26;2020-12-16;520560;2802
27;2020-12-16;600687;1769
28;2020-12-16;429425;1585
29;2020-12-16;906554;2914
2A;2020-12-16;162421;1187
2B;2020-12-16;182258;1091
30;2020-12-16;748468;3670
31;2020-12-16;1400935;7199
32;2020-12-16;190040;699
33;2020-12-16;1633440;8348
34;2020-12-16;1176145;6228
35;2020-12-16;1082073;4131
36;2020-12-16;217139;759
37;2020-12-16;605380;2840
38;2020-12-16;1264979;8762
39;2020-12-16;257849;1394
40;2020-12-16;411979;1856
41;2020-12-16;327835;1325
42;2020-12-16;764737;4010
43;2020-12-16;226901;950
44;2020-12-16;1437137;5716
45;2020-12-16;682890;3408
46;2020-12-16;173166;488
47;2020-12-16;330336;1463
48;2020-12-16;76286;306
49;2020-12-16;815881;2945
50;2020-12-16;490669;1143
51;2020-12-16;563823;2634
52;2020-12-16;169250;891
53;2020-12-16;305365;946
54;2020-12-16;730398;5141
55;2020-12-16;181641;1051
56;2020-12-16;755566;2142
57;2020-12-16;1035866;6037
58;2020-12-16;199596;991
59;2020-12-16;2588988;12118
60;2020-12-16;825077;3075
61;2020-12-16;276903;1325
62;2020-12-16;1452778;5354
63;2020-12-16;660240;3796
64;2020-12-16;683169;3792
65;2020-12-16;226839;1189
66;2020-12-16;479000;1783
67;2020-12-16;1132607;6258
68;2020-12-16;763204;3719
69;2020-12-16;1876051;14673
70;2020-12-16;233194;1184
71;2020-12-16;547824;2473
72;2020-12-16;560227;2204
73;2020-12-16;432548;2922
74;2020-12-16;828405;4592
75;2020-12-16;2148271;22589
76;2020-12-16;1243788;8462
77;2020-12-16;1423607;6247
78;2020-12-16;1448625;7364
79;2020-12-16;372627;1388
80;2020-12-16;569769;2353
81;2020-12-16;387898;1746
82;2020-12-16;262618;961
83;2020-12-16;1073836;6023
84;2020-12-16;560997;2866
85;2020-12-16;683187;2632
86;2020-12-16;437398;1663
87;2020-12-16;370774;1373
88;2020-12-16;359520;2033
89;2020-12-16;332096;1835
90;2020-12-16;140145;646
91;2020-12-16;1319401;6186
92;2020-12-16;1613762;12033
93;2020-12-16;1670149;7742
94;2020-12-16;1406041;8003
95;2020-12-16;1248354;5495
971;2020-12-16;376879;463
972;2020-12-16;358749;608
973;2020-12-16;290691;1376
974;2020-12-16;859959;2356
975;2020-12-16;5997;4
976;2020-12-16;279471;472
977;2020-12-16;9961;118
978;2020-12-16;35334;136
01;2020-12-17;656955;4638
02;2020-12-17;526050;2973
03;2020-12-17;331315;3385
04;2020-12-17;165197;855
05;2020-12-17;141756;779
06;2020-12-17;1079396;10147
07;2020-12-17;326875;2046
08;2020-12-17;265531;2847
09;2020-12-17;152398;777
10;2020-12-17;309907;1727
11;2020-12-17;372705;1623
12;2020-12-17;278360;1259
13;2020-12-17;2034469;17044
14;2020-12-17;691453;3477
15;2020-12-17;142811;1471
16;2020-12-17;348180;1232
17;2020-12-17;647080;2805
18;2020-12-17;296404;1355
19;2020-12-17;240336;818
21;2020-12-17;532886;3194
22;2020-12-17;596186;2399
23;2020-12-17;116270;613
24;2020-12-17;408393;1244
25;2020-12-17;539449;3101
26;2020-12-17;520560;3490
27;2020-12-17;600687;2022
28;2020-12-17;429425;1676
29;2020-12-17;906554;3009
2A;2020-12-17;162421;1369
2B;2020-12-17;182258;1332
30;2020-12-17;748468;3790
31;2020-12-17;1400935;8800
32;2020-12-17;190040;910
33;2020-12-17;1633440;8964
34;2020-12-17;1176145;6965
35;2020-12-17;1082073;4265
36;2020-12-17;217139;678
37;2020-12-17;605380;2837
38;2020-12-17;1264979;12181
39;2020-12-17;257849;1532
40;2020-12-17;411979;2288
41;2020-12-17;327835;1434
42;2020-12-17;764737;5620
43;2020-12-17;226901;1549
44;2020-12-17;1437137;6708
45;2020-12-17;682890;3875
46;2020-12-17;173166;585
47;2020-12-17;330336;1595
48;2020-12-17;76286;320
49;2020-12-17;815881;3319
50;2020-12-17;490669;1059
51;2020-12-17;563823;2861
52;2020-12-17;169250;1383
53;2020-12-17;305365;1067
54;2020-12-17;730398;6389
55;2020-12-17;181641;1325
56;2020-12-17;755566;2430
57;2020-12-17;1035866;7417
58;2020-12-17;199596;1059
59;2020-12-17;2588988;13214
60;2020-12-17;825077;3711
61;2020-12-17;276903;2028
62;2020-12-17;1452778;6087
63;2020-12-17;660240;6199
64;2020-12-17;683169;4203
65;2020-12-17;226839;1263
66;2020-12-17;479000;2061
67;2020-12-17;1132607;7096
68;2020-12-17;763204;4107
69;2020-12-17;1876051;19354
70;2020-12-17;233194;1330
71;2020-12-17;547824;2864
72;2020-12-17;560227;2857
73;2020-12-17;432548;4496
74;2020-12-17;828405;6331
75;2020-12-17;2148271;27487
76;2020-12-17;1243788;10205
77;2020-12-17;1423607;7098
78;2020-12-17;1448625;8997
79;2020-12-17;372627;1508
80;2020-12-17;569769;2970
81;2020-12-17;387898;1610
82;2020-12-17;262618;1225
83;2020-12-17;1073836;7677
84;2020-12-17;560997;3058
85;2020-12-17;683187;2825
86;2020-12-17;437398;1653
87;2020-12-17;370774;1319
88;2020-12-17;359520;2283
89;2020-12-17;332096;1663
90;2020-12-17;140145;787
91;2020-12-17;1319401;6959
92;2020-12-17;1613762;14482
93;2020-12-17;1670149;8277
94;2020-12-17;1406041;9132
95;2020-12-17;1248354;6358
971;2020-12-17;376879;592
972;2020-12-17;358749;588
973;2020-12-17;290691;1457
974;2020-12-17;859959;1750
975;2020-12-17;5997;6
976;2020-12-17;279471;522
977;2020-12-17;9961;90
978;2020-12-17;35334;160
01;2020-12-18;656955;8098
02;2020-12-18;526050;3377
03;2020-12-18;331315;4771
04;2020-12-18;165197;942
05;2020-12-18;141756;1063
06;2020-12-18;1079396;11643
07;2020-12-18;326875;3804
08;2020-12-18;265531;3236
09;2020-12-18;152398;804
10;2020-12-18;309907;1914
11;2020-12-18;372705;2468
12;2020-12-18;278360;1374
13;2020-12-18;2034469;20817
14;2020-12-18;691453;4282
15;2020-12-18;142811;1707
16;2020-12-18;348180;1522
17;2020-12-18;647080;3552
18;2020-12-18;296404;1543
19;2020-12-18;240336;1096
21;2020-12-18;532886;3843
22;2020-12-18;596186;2471
23;2020-12-18;116270;502
24;2020-12-18;408393;1550
25;2020-12-18;539449;3908
26;2020-12-18;520560;6044
27;2020-12-18;600687;2527
28;2020-12-18;429425;2165
29;2020-12-18;906554;4361
2A;2020-12-18;162421;1508
2B;2020-12-18;182258;1688
30;2020-12-18;748468;4986
31;2020-12-18;1400935;11188
32;2020-12-18;190040;943
33;2020-12-18;1633440;11390
34;2020-12-18;1176145;9722
35;2020-12-18;1082073;5741
36;2020-12-18;217139;899
37;2020-12-18;605380;3764
38;2020-12-18;1264979;16614
39;2020-12-18;257849;1809
40;2020-12-18;411979;2395
41;2020-12-18;327835;1615
42;2020-12-18;764737;8624
43;2020-12-18;226901;3049
44;2020-12-18;1437137;8148
45;2020-12-18;682890;4216
46;2020-12-18;173166;803
47;2020-12-18;330336;2032
48;2020-12-18;76286;560
49;2020-12-18;815881;3798
50;2020-12-18;490669;1708
51;2020-12-18;563823;3822
52;2020-12-18;169250;1151
53;2020-12-18;305365;1634
54;2020-12-18;730398;7550
55;2020-12-18;181641;1309
56;2020-12-18;755566;3132
57;2020-12-18;1035866;8776
58;2020-12-18;199596;1614
59;2020-12-18;2588988;16553
60;2020-12-18;825077;4056
61;2020-12-18;276903;1848
62;2020-12-18;1452778;7608
63;2020-12-18;660240;9789
64;2020-12-18;683169;4894
65;2020-12-18;226839;1447
66;2020-12-18;479000;2528
67;2020-12-18;1132607;9124
68;2020-12-18;763204;5039
69;2020-12-18;1876051;28313
70;2020-12-18;233194;1621
